book_links,book_title,book_author,book_prices,book_img_urls
https://diwanegypt.com/product/%d8%ad%d9%8a%d8%a7%d8%a9-%d9%88-%d9%85%d9%88%d8%aa-%d9%85%d9%87%d9%86%d8%af%d8%b3/,حياة و موت مهندس,ادواردو البيناتى,EGP70.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776532168-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%a7%d8%a8%d9%86%d8%a9-%d8%a7%d9%84%d8%ae%d8%b7%d8%a7/,الابنة الخطا,رافائيللا رومانيولو,EGP80.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776532151-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d9%85%d9%84%d8%a7%d8%ad/,الملاح,باولا كابريولو,EGP70.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776532106-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b9%d9%86%d8%af%d9%85%d8%a7-%d9%8a%d9%86%d9%81%d8%b5%d9%84-%d8%a7%d9%84%d8%b8%d9%84-%d8%b9%d9%86-%d8%a7%d9%84%d8%a7%d8%b1%d8%b6/,عندما ينفصل الظل عن الارض,دانييلى ديل جودتشى,EGP70.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776532090-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%ae%d9%85%d8%b3-%d8%b9%d8%b4%d8%b1%d8%a9-%d8%a3%d9%84%d9%81-%d8%ae%d8%b7%d9%88%d8%a9/,الخمس عشرة ألف خطوة,فيتاليانو ترافيزيان,EGP60.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776532076-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%aa%d8%ad%d8%b3%d9%80%d9%80%d9%8a%d9%86/,تحســين,بليك كــرواتش,EGP290.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789773139216-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%8a%d9%87%d9%88%d8%b0%d8%a7/,يهوذا,ليونيد اندرييف,EGP95.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789773139209-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b1%d9%8a%d9%86%d9%83%d9%8a%d8%aa%d9%8a%d9%86%d9%83-%d9%81%d9%8a-%d8%a3%d9%88%d8%b2/,رينكيتينك في أوز,فرانك باوم,EGP180.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789773139193-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%86%d8%a7%d8%a8%d9%84%d9%8a%d9%88%d9%86-%d9%81%d9%8a-%d9%86%d9%88%d8%aa%d9%86%d8%ac-%d9%87%d9%8a%d9%84/,نابليون في نوتنج هيل,جى كيه تشستيرتون,EGP145.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789773139186-450x600.jpg
,,,,
